Field,Type,Russian,English
ProductName,Text,,
Description,Text,"Прочитал страницу — и помнишь, что на ней.
Держишь в голове три дела сразу и не теряешь ни одного.
Сел работать — и два часа не тянулся к телефону.

Это не врождённый талант. Это тренируется — и здесь видно, насколько именно.

PsyGames — тренировка мозга и развитие памяти: 63 упражнения на память, внимание, логику и скорость мышления. Не тест «узнай свой IQ», а зарядка для ума с измеримым результатом.

ПОЧЕМУ ВЕРСИЯ ДЛЯ КОМПЬЮТЕРА ПРИЖИВАЕТСЯ, А ДЛЯ ТЕЛЕФОНА — НЕТ

На телефоне такие приложения умирают. Ставишь, открываешь три раза по дороге на работу и забываешь: телефон — там, где отдыхают, а тренировка это работа.

На компьютере всё иначе. Это машина, за которой вы и так сидите восемь часов. Десять минут между двумя задачами ничего не стоят, чтобы начать: не надо разблокировать, искать иконку и откладывать «на потом». И экран наконец нормального размера — таблицы Шульте, матрицы на память и судоку рассчитаны на полное поле зрения, а не на полоску в шесть дюймов.

ПАМЯТЬ
Зрительная память: кубики Корси, матрицы, парные карточки. Рабочая память: N-back, operation span и reading span. Удержать узор в голове и воспроизвести позже.

ВНИМАНИЕ И КОНЦЕНТРАЦИЯ
Таблицы Шульте, «найди отличия», задачи Познера и Фланкера. Навык оставаться в задаче, когда вокруг дёргают, — ровно то, что съедает открытая почта.

ЛОГИКА И ГОЛОВОЛОМКИ
Судоку с 12 вариантами правил, Ханойская башня, Лондонская башня, SET и анаграммы. Просчитывать на несколько ходов вперёд.

СКОРОСТЬ МЫШЛЕНИЯ И РЕАКЦИЯ
Струп, Go/No-Go, счёт на время и Trail Making — время реакции, устный счёт и когнитивный контроль.

ПОЧЕМУ ВЫ НЕ БРОСИТЕ НА ТРЕТИЙ ДЕНЬ

Обычно это одно и то же упражнение одной и той же сложности, а прогресс приходится принимать на веру. Здесь устроено иначе.

• Уровни в каждой игре. Справился — сложность растёт, ошибся — подождёт вас. Всегда на пределе, но не за ним
• Босс-раунды на рубежах: правило то же, поворот неожиданный
• Серия. Пропустил день — начинай заново. Приём грубый, но работает лучше намерений
• Синапс, ваш питомец, живёт на экране, растёт от тренировок и показывает, что проседает
• Очки за точность и скорость, магазин с рамками, аватарами и титулами
• Ежедневный вызов со своей серией и достижения

ЧТО ВНУТРИ

• 63 упражнения на память, внимание, логику, скорость и контроль
• Зарядка одной кнопкой: утро, день, вечер и ночь — готовые наборы запускаются с нужными настройками
• 12 профилей под разные цели: языки, дети, 50+, фокус, реакция, предприниматели и другие
• Диагностика с радаром сильных и слабых сторон
• 12 языков · работает офлайн · без рекламы

ЭТО НЕ ИГРУШКА «ПРОКАЧАЙ МОЗГ»

За каждым упражнением стоит проверенная методика, а не придуманная механика. Таблицы Шульте — скорость поиска и объём внимания. Тест Струпа — подавление автоматической реакции: назвать цвет, а не прочитать слово. N-back — рабочая память, самая изученная методика в когнитивных тренировках. Кубики Корси — зрительно-пространственная память. Trail Making — переключение между последовательностями. Лондонская и Ханойская башни — планирование на несколько шагов. Плюс SET, Go/No-Go, Фланкер, WCST, задача Познера и ещё полсотни.

Поэтому число на экране что-то значит. Вы смотрите не на «уровень 7», а на то, как меняетесь сами.

РАЗРАБОТЧИКИ, КОТОРЫЕ ОТВЕЧАЮТ

Внутри приложения живёт кнопка отзыва: напишите или наговорите голосом, скриншот приложится сам. Когда починим — приложение само скажет, что именно изменилось по ВАШЕМУ сообщению и в какой версии.

КОМУ ПОДОЙДЁТ

• Взрослым — держать фокус в работе, где дёргают каждые пять минут
• 50+ — память и скорость реакции, регулярно и без возни с настройками
• Детям с 7 лет — счёт, память и внимание как игра, в отдельном профиле
• Студентам и тем, кто учит языки, — концентрация, чужие звуки и память на слова
• Шахматистам, скорочтецам и всем, кто тренирует решения под давлением

ЧЕСТНО О НАУКЕ

Тренировки надёжно улучшают сами тренируемые задачи и близкие к ним навыки (ближний перенос). Мы НЕ обещаем рост IQ — перенос на «общий интеллект» научно спорен. Что мы даём: проверенные инструменты и понятную измеримую картину прогресса. Этим и отличаемся от игрушек «прокачай мозг».

БЕЗ РЕГИСТРАЦИИ

Поставил и играешь. Прогресс хранится на вашем устройстве. По желанию — анонимная синхронизация с облаком, без имени и без почты.",
WhatsNew,Text,"Судоку переработана
• Клавиши крупнее, у каждой цифры свой цвет, и сама клавиатура переехала под доску — раньше между ними была пустота почти в пол-экрана
• Подсказка, отмена и цвет — наверху; режим и справка — рядом с кнопкой «играть»
• Игра открывается сразу настройками, описание свернулось в строку «Об игре»
• Цифра на кружке или заливке больше не выглядит выцветшей — рисуется чётко поверх любой подложки

Играть руками
• Ханойская башня: диски перетаскиваются пальцем, нажатия по стержням тоже работают
• На компьютере можно играть с клавиатуры: цифры ставят, Backspace стирает, стрелки ходят

Новые длинные головоломки
• Судоку-самурай — пять перекрывающихся сеток 9×9, теперь в каталоге игр
• Фрактальная судоку — за каждой клеткой верхней сетки спрятана целая судоку

Остальное
• Кнопки по всему приложению стали крупнее: 123 из 440 были меньше размера, при котором палец попадает надёжно
• Купленный цвет интерфейса стал виден на главной
• Японский переведён с 54% до 97%",
ProductFeatures1,Text,"61 упражнение на память, внимание, логику и скорость",
ProductFeatures2,Text,"Таблицы Шульте, матрицы и судоку на весь экран",
ProductFeatures3,Text,"Уровни подстраиваются: растут за успех, ждут при ошибке",
ProductFeatures4,Text,Судоку с 12 вариантами правил,
ProductFeatures5,Text,"N-back, Струп, Корси, Trail Making и ещё 50 методик",
ProductFeatures6,Text,"Зарядка одной кнопкой: утро, день, вечер, ночь",
ProductFeatures7,Text,"12 профилей: языки, дети, 50+, фокус, реакция, предприниматели",
ProductFeatures8,Text,Диагностика с радаром сильных и слабых сторон,
ProductFeatures9,Text,"Синапс — питомец, который растёт от ваших тренировок",
ProductFeatures10,Text,"Ежедневный вызов, серии и достижения",
ProductFeatures11,Text,Полностью работает офлайн,
ProductFeatures12,Text,"Без рекламы, без регистрации, без почты",
ProductFeatures13,Text,12 языков,
ProductFeatures14,Text,,
ProductFeatures15,Text,,
ProductFeatures16,Text,,
ProductFeatures17,Text,,
ProductFeatures18,Text,,
ProductFeatures19,Text,,
ProductFeatures20,Text,,
ShortDescription,Text,"Тренировка мозга, которую не бросают на второй неделе. 63 упражнения на память, внимание, логику и скорость — за каждым проверенная методика, а не придуманная механика. Уровни подстраиваются, прогресс измеряется. Офлайн, без рекламы и регистрации.",
SearchTerms1,Text,упражнения на внимания,
SearchTerms2,Text,тренировка мозга,
SearchTerms3,Text,развитие памяти,
SearchTerms4,Text,когнитивные тренировки,
SearchTerms5,Text,таблицы шульте,
SearchTerms6,Text,рабочая память n-back,
SearchTerms7,Text,устный счёт тренажёр,
Applicable license terms,Text,Использование данного приложения регулируется стандартными условиями лицензионного соглашения Microsoft Store.,
Copyright,Text,©2026 PsyGames,
DevelopedBy,Text,,
RequirementsMinimum1,Text,,
RequirementsMinimum2,Text,,
RequirementsMinimum3,Text,,
RequirementsMinimum4,Text,,
RequirementsMinimum5,Text,,
RequirementsMinimum6,Text,,
RequirementsMinimum7,Text,,
RequirementsMinimum8,Text,,
RequirementsMinimum9,Text,,
RequirementsMinimum10,Text,,
RequirementsMinimum11,Text,,
